Ano,Mês,Inflação-IGP-DI-(% a.m.)
2000,06,0.93
2000,07,2.26
2000,08,1.82
2000,09,0.69
2000,10,0.37
2000,11,0.39
2000,12,0.76
2001,01,0.49
2001,02,0.34
2001,03,0.8
2001,04,1.13
2001,05,0.44
2001,06,1.46
2001,07,1.62
2001,08,0.9
2001,09,0.38
2001,10,1.45
2001,11,0.76
2001,12,0.18
2002,01,0.19
2002,02,0.18
2002,03,0.11
2002,04,0.7
2002,05,1.11
2002,06,1.74
2002,07,2.05
2002,08,2.36
2002,09,2.64
2002,10,4.21
2002,11,5.84
2002,12,2.7
2003,01,2.17
2003,02,1.59
2003,03,1.66
2003,04,0.41
2003,05,-0.67
2003,06,-0.7
2003,07,-0.2
2003,08,0.62
2003,09,1.05
2003,10,0.44
2003,11,0.48
2003,12,0.6
2004,01,0.8
2004,02,1.08
2004,03,0.93
2004,04,1.15
2004,05,1.46
2004,06,1.29
2004,07,1.14
2004,08,1.31
2004,09,0.48
2004,10,0.53
2004,11,0.82
2004,12,0.52
2005,01,0.33
2005,02,0.4
2005,03,0.99
2005,04,0.51
2005,05,-0.25
2005,06,-0.45
2005,07,-0.4
2005,08,-0.79
2005,09,-0.13
2005,10,0.63
2005,11,0.33
2005,12,0.07
2006,01,0.72
2006,02,-0.06
2006,03,-0.45
2006,04,0.02
2006,05,0.38
2006,06,0.67
2006,07,0.17
2006,08,0.41
2006,09,0.24
2006,10,0.81
2006,11,0.57
2006,12,0.26
2007,01,0.43
2007,02,0.23
2007,03,0.22
2007,04,0.14
2007,05,0.16
2007,06,0.26
2007,07,0.37
2007,08,1.39
2007,09,1.17
2007,10,0.75
2007,11,1.05
2007,12,1.47
2008,01,0.99
2008,02,0.38
2008,03,0.7
2008,04,1.12
2008,05,1.88
2008,06,1.89
2008,07,1.12
2008,08,-0.38
2008,09,0.36
2008,10,1.09
2008,11,0.07
2008,12,-0.44
2009,01,0.01
2009,02,-0.13
2009,03,-0.84
2009,04,0.04
2009,05,0.18
2009,06,-0.32
2009,07,-0.64
2009,08,0.09
2009,09,0.25
2009,10,-0.04
2009,11,0.07
2009,12,-0.11
2010,01,1.01
2010,02,1.09
2010,03,0.63
2010,04,0.72
2010,05,1.57
2010,06,0.34
2010,07,0.22
2010,08,1.1
2010,09,1.1
2010,10,1.03
2010,11,1.58
2010,12,0.38
2011,01,0.98
2011,02,0.96
2011,03,0.61
2011,04,0.5
2011,05,0.01
2011,06,-0.13
2011,07,-0.05
2011,08,0.61
2011,09,0.75
2011,10,0.4
2011,11,0.43
2011,12,-0.16
2012,01,0.3
2012,02,0.07
2012,03,0.56
2012,04,1.02
2012,05,0.91
2012,06,0.69
2012,07,1.52
2012,08,1.29
2012,09,0.88
2012,10,-0.31
2012,11,0.25
2012,12,0.66
2013,01,0.31
2013,02,0.2
2013,03,0.31
2013,04,-0.06
2013,05,0.32
2013,06,0.76
2013,07,0.14
2013,08,0.46
2013,09,1.36
2013,10,0.63
2013,11,0.28
2013,12,0.69
2014,01,0.4
2014,02,0.85
2014,03,1.48
2014,04,0.45
2014,05,-0.45
2014,06,-0.63
2014,07,-0.55
2014,08,0.06
2014,09,0.02
2014,10,0.59
2014,11,1.14
2014,12,0.38
2015,01,0.67
2015,02,0.53
2015,03,1.21
2015,04,0.92
2015,05,0.4
2015,06,0.68
2015,07,0.58
2015,08,0.4
2015,09,1.42
2015,10,1.76
2015,11,1.19
2015,12,0.44
2016,01,1.53
2016,02,0.79
2016,03,0.43
2016,04,0.36
2016,05,1.13
2016,06,1.63
2016,07,-0.39
2016,08,0.43
2016,09,0.03
2016,10,0.13
2016,11,0.05
2016,12,0.83
2017,01,0.43
2017,02,0.06
2017,03,-0.38
2017,04,-1.24
2017,05,-0.51
2017,06,-0.96
2017,07,-0.3
2017,08,0.24
2017,09,0.62
2017,10,0.1
2017,11,0.8
2017,12,0.74
2018,01,0.58
2018,02,0.15
2018,03,0.56
2018,04,0.93
